base_url,page_links,card_links,request_time_stamp,dw_insert_timestamp
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-flourishing-medallion/Multi/200KKDL01A-P.html,2021-12-15 07:19:34.452304,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-shaggy-curves/Cream/200OZSG08A-P.html,2021-12-14 14:28:00.281034,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-mottled-abstract/Beige/200ERTR07A-P.html,2021-12-14 14:28:45.134436,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-solid-braided-indooroutdoor/Ivory/200HJFV01A-P.html,2021-12-14 14:28:40.506485,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-tasseled-medallion/Rust/200KHMC04A-P.html,2021-12-14 14:28:54.317718,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-shaggy/White/200SHG1-P.html,2021-12-14 14:29:07.950134,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-tasseled-medallion/Silver/200KHMC04A-P.html,2021-12-14 14:28:57.472315,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-moroccan-trellis/Light-Multi/200RZBD16A-P.html,2021-12-14 14:29:13.640084,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-brenda-hazy-heraldry-washable/Beige/200HJAU13A-P.html,2021-12-14 14:29:07.517957,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-moroccan-trellis/Dark-Gray/200RZBD16A-P.html,2021-12-14 14:29:20.118000,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-handwoven-jute-ribbed-solid/Natural/200CLWA01A-P.html,2021-12-14 14:29:22.061456,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-braided/Multi/200MGNM04A-P.html,2021-12-14 14:29:43.541221,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-distressed-persian/Blue/200RZBD07A-P.html,2021-12-14 14:30:11.796759,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-honeycomb-labyrinth/Gray/200RZBD30A-P.html,2021-12-14 14:29:30.177547,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-vintage-medallion/Light-Gray/200ACSD05A-P.html,2021-12-14 14:29:44.666083,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-ring-around-the-rosette/Black/200BDSM12A-P.html,2021-12-14 14:29:56.640669,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-cotton-solid/Beige/200JASG01A-P.html,2021-12-14 14:30:08.696007,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-handspun-jute/Natural/200ON01A-P.html,2021-12-14 14:30:13.951206,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-ripple-waves/Gray/200BDSM01A-P.html,2021-12-14 14:30:34.422408,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-nordic-emblems-washable/Peach/200BIRV01A-P.html,2021-12-14 14:30:28.271925,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-broken-lattice/Dark-Gray/200BDSM04A-P.html,2021-12-14 14:30:30.151738,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-super-soft-luxury-shag-with-carved-trellis/White/200HJML01A-P.html,2021-12-15 07:19:48.588930,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-solid-braided-indooroutdoor/Charcoal/200HJFV01A-P.html,2021-12-14 14:30:43.938195,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-sutton-solid-chevron/Ivory/200VESE01A-P.html,2021-12-14 14:30:49.057093,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-atrium-medallion-washable/Gray/200BIRV16A-P.html,2021-12-14 14:31:17.407687,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-vintage-medallion-washable/Gray/200BIRV18A-P.html,2021-12-14 14:31:02.815310,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-veronica-wool-braided/Light-Gray/200CB01-P.html,2021-12-14 14:31:16.036657,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-native-collage/Beige/200GRWS03A-P.html,2021-12-15 07:19:58.063016,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-solid-braided-indooroutdoor/Light-Blue/200HJFV01A-P.html,2021-12-14 14:31:30.274120,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-diamond-mosaic/Light-Gray/200RZSP01A-P.html,2021-12-14 14:31:55.885268,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-hand-woven-jute-with-wool-fringe/Natural/200NCNT24A-P.html,2021-12-14 14:31:44.252263,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-shaggy-lattice-tassel/Gray/200KKLR12A-P.html,2021-12-14 14:32:01.273938,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-vintage-medallion-fringe/Multi/200BDSN04A-P.html,2021-12-15 07:20:15.390106,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-jute-braided/Black/200TAJT03-P.html,2021-12-14 14:32:13.017955,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-speckled-vintage/Silver/200CFDR05A-P.html,2021-12-14 14:32:33.558815,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-felted-wool-tasseled/Beige/200MHDH01A-P.html,2021-12-14 14:32:26.568687,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-modern-tracery-tasseled/Beige/200GCUW06A-P.html,2021-12-14 14:32:56.865026,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-kenzie-carved-shag/White/200OZOT01A-P.html,2021-12-14 14:33:20.121798,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs?p=2,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-melange-tiles/Beige/200OWMN04A-P.html,2021-12-14 14:33:08.859733,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs?p=2,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-shaggy-curves/Dark-Gray/200OZSG08A-P.html,2021-12-14 14:33:29.687160,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs?p=2,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-diamond-textured-trellis-tassel/Ivory/200APPE01A-P.html,2021-12-14 14:33:42.660447,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs?p=2,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-aisha-monochrome-texture/Cream/200NCAG01A-P.html,2021-12-14 14:33:41.578220,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs?p=2,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-rosette-medallion-washable/Peach/200BIRV02A-P.html,2021-12-14 14:33:57.759454,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs?p=2,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-shaggy/Silver/200SHG1-P.html,2021-12-14 14:33:55.339527,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs?p=2,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-cartouche-medallion-washable/Beige/200BIRV06A-P.html,2021-12-14 14:34:00.206988,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs?p=2,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-greek-flokati/Natural/200UFSR-P.html,2021-12-14 14:34:11.590707,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs?p=2,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-double-diamond-lattice-shag/White/200HJKZ01A-P.html,2021-12-14 14:34:12.583322,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs?p=2,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-splatter-abstract/Gold/200CFDR02A-P.html,2021-12-14 14:34:17.317017,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs?p=2,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-jute-braided-saturn-border/Off-White/200TADR04A-P.html,2021-12-14 14:34:25.146948,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs?p=2,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-handwoven-jute-ribbed-solid/Off-White/200CLWA01A-P.html,2021-12-14 14:34:29.015112,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs?p=2,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-faded-geometric-washable/Rust/200BIRV07A-P.html,2021-12-14 14:34:30.506023,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs?p=2,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-shaggy/Gray/200SHG1-P.html,2021-12-14 14:34:37.815955,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs?p=2,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-tasseled-medallion/Light-Brown/200KHMC04A-P.html,2021-12-14 14:34:42.101842,2022-01-13 19:33:41.512911
https://www.rugsusa.com/rugsusa/control/search-rugs,https://www.rugsusa.com/rugsusa/control/search-rugs?p=2,https://www.rugsusa.com//rugsusa/rugs/rugs-usa-faded-abstract-washable/Gray/200BIRV08A-P.html,2021-12-14 14:34:45.627451,2022-01-13 19:33:41.512911
