pid,product_type_id,name,url,origin,thickness,material,weave,weave_feature,color,brand,imageName,imageType,internalName,category,min_price,max_price,availability,aggregate,clearance,long_description,shopbyroom,dw_insert_timestamp
200BINB05A,RUG,Bleached Frame,/rugsusa/rugs/rugs-usa-bleached-frame/Blue/200BINB05A-P.html,China,1/2 inch,100% Polyester,,Machine Made,Blue,Rugs USA,200BINB05A,osNew/roomImage,rugs-usa-bleached-frame,Farroe,0,0,48 Hours,True,Y,"Composed of luxuriously soft fibers, this area rug feels like a delight to the touch. This rug offers an attractive motif and design that impresses anyone who sees it. Combine style and elegance perfect for any transitional space. With its sophisticated design that blends with any decor, this area rug will find a place of honor in your living room, under the dining room table, or in the bedroom. Make the most of your time at home with our pet-friendly and easy to clean area rugs.","Bedroom, Dining Room, Living Room, Hallway, Office, Kitchen, Entryway",2022-01-13 19:33:41.513542
200KSML04A,RUG,Jasmine Contemporary Lattice,/rugsusa/rugs/rugs-usa-jasmine-contemporary-lattice/Beige/200KSML04A-P.html,Turkey,1/2 inch,"80% Polypropylene, 20% Polyester",,Machine Made,Beige,Rugs USA,200KSML04A,roomImage,rugs-usa-jasmine-contemporary-lattice,Vesuvius,0,0,48 Hours,True,N,"Make a statement with this sleek and functional floor piece. With a stylish spin on a linear pattern, give your space a refreshing twist while offering a soft texture underfoot. This durable area rug promises to set your living space apart. Make the most of your time at home with our pet-friendly and easy to clean area rugs.","Bedroom, Dining Room, Living Room, Hallway, Kitchen, Bathroom",2022-01-13 19:33:41.513542
200KKON01A,RUG,Marlene Crosshatch Trellis Washable,/rugsusa/rugs/rugs-usa-marlene-crosshatch-trellis-washable/Gray/200KKON01A-P.html,Turkey,1/4 inch,100% Polyester,,Machine Made,Gray,Rugs USA,200KKON01A,roomImage,rugs-usa-marlene-crosshatch-trellis-washable,Levant,0,0,48 Hours,True,N,"Rugs are at the heart of your home, where all the action happens. The occasional ""oops"" is a fact of life; and lucky for all of us, cleaning our rugs just got much easier. Say hello to the <b>Rugs USA Washable Rugs Collection</b>!<br /><br /><b>Innovative construction:</b> Made from sustainably-sourced premium synthetic fibers, our machine-washable rugs help you feel good with every step.<br /><b>Hard-wearing:</b> Spill- and stain-resistant, these rugs are perfect for those with kids and pets and will hold up in high traffic areas of your home.<br /><b>Add a rug pad:</b> Want a plusher feel underfoot? Simply layer a Rugs USA rug pad underneath the rug for extra cushioning.<br /><b>Launders easily:</b> To clean, machine wash with cold water. Do not use bleach. We recommend line drying or drying without heat on an air-only dryer cycle. A low heat iron can be used if needed.","Bedroom, Dining Room, Living Room, Hallway, Office, Kitchen, Entryway, Nursery / Kids Room",2022-01-13 19:33:41.513542
200BICR03A,RUG,Kinsley Vintage Paisley,/rugsusa/rugs/rugs-usa-kinsley-vintage-paisley/Peach/200BICR03A-P.html,China,1/2 inch,100% Polyester,,Machine Made,Peach,Rugs USA,200BICR03A,roomImage,rugs-usa-kinsley-vintage-paisley,Marisol,0,0,48 Hours,True,N,"Add a splash of color to your décor, with this intricately patterned paisley rug. Composed of a long-lasting synthetic fabrication, this covering is durable, soft and plush to touch. It's machine-made, easy to clean, pet-friendly and maintainence is a breeze, which makes it an ideal choice for rooms with high traffic areas. Choose from our extensive range of size options today. ","Bedroom, Dining Room, Living Room, Hallway, Kitchen, Bathroom",2022-01-13 19:33:41.513542
200LPCT07A,RUG,Ornamental Rosette,/rugsusa/rugs/rugs-usa-ornamental-rosette/Gray/200LPCT07A-P.html,Turkey,1/2 inch,100% Polypropylene,,Machine Made,Gray,Rugs USA,200LPCT07A,osNew/roomImage,rugs-usa-ornamental-rosette,Martella,0,0,48 Hours,True,N,"Let love bloom for your floors with this gorgeous rosette patterned rug. The center rosette is sure to delight you every day, and the cheerful colors will make any room feel like home. It's made of durable synthetics, so it's guaranteed never to wilt! Guaranteed to add a fresh element to any space. Choose from our wide assortment of colors and elevate your living space with our pet-friendly and easy to clean rugs. ","Bedroom, Dining Room, Living Room, Hallway, Kitchen",2022-01-13 19:33:41.513542
200BDCH02A,RUG,Faded Ripples,/rugsusa/rugs/rugs-usa-faded-ripples/Gray/200BDCH02A-P.html,Turkey,1/4 inch,100% Polyester,,Machine Made,Gray,Rugs USA,200BDCH02A,roomImage,rugs-usa-faded-ripples,Cragford,0,0,48 Hours,True,N,"Set your modern living space apart with the calmness of this decorative design. Machine-made of durable synthetic fibers, this area rug is patterned with a serene rippling pattern for ultimate relaxation.  A striking texture makes the perfect addition to any room in your living space. Place this area rug at the foot of the bed to make your first steps of the day extra luxurious, or anywhere in the home that could use a graceful touch. Elevate your living space with our pet-friendly and easy to clean rugs. ","Bedroom, Dining Room, Living Room, Hallway, Kitchen",2022-01-13 19:33:41.513542
200RZSP19A,RUG,Classic Border,/rugsusa/rugs/rugs-usa-classic-border/Gray/200RZSP19A-P.html,Turkey,1/2 inch,100% Polypropylene,,Machine Made,Gray,Rugs USA,200RZSP19A,roomImage,rugs-usa-classic-border,Primavera,0,0,48 Hours,True,N,An exquisite area rug adds an elevated classic flair to your living space. This stunning bordered motif boldly stands out with its simple design. A statement piece as elegant as this choice gives your space a new look while offering a luxuriously soft texture underfoot. Incorporate the look of heirloom pieces with this area rug at an affordable price. Make the most of your time at home with our pet-friendly and easy to clean area rugs.,"Bedroom, Dining Room, Living Room, Hallway, Kitchen",2022-01-13 19:33:41.513542
200RZBD67A,RUG,Crosshatch Aztec,/rugsusa/rugs/rugs-usa-crosshatch-aztec/Silver/200RZBD67A-P.html,Turkey,1/2 inch,100% Polypropylene,,Machine Made,Silver,Rugs USA,200RZBD67A,osNew/roomImage,rugs-usa-crosshatch-aztec,Bosphorus,0,0,48 Hours,True,N,"A modern update on a classicly inspired design, this design features an intricate Aztec aesthetic. A vivid color scheme makes the perfect focal point in any living area. Make a statement as distinct as the look behind it. Machine-made with durable synthetic fibers, this rug is built to last and will withstand regular foot traffic. Make the most of your time at home with our pet-friendly and easy to clean area rugs.","Bedroom, Dining Room, Living Room, Hallway, Office, Kitchen, Entryway",2022-01-13 19:33:41.513542
200OWMN01A,RUG,Modern Abstract,/rugsusa/rugs/rugs-usa-modern-abstract/Gray/200OWMN01A-P.html,Egypt,1/2 inch,100% Polypropylene,,Machine Made,Gray,Rugs USA,200OWMN01A,osNew/roomImage,rugs-usa-modern-abstract,Governess,0,0,48 Hours,True,N,"A floor covering this unique stuns anyone who lays their eyes on it! A pattern unlike any other, this area rug combines versatile colors and an abstract pattern. Pair with simple, delicate decor and let the beauty of this piece speak for itself. Kick those feet up and get ready to relax with our pet-friendly and easy to clean area rugs.","Bedroom, Dining Room, Living Room, Hallway, Kitchen",2022-01-13 19:33:41.513542
200SMRM01A,RUG,Textured Moroccan Jute,/rugsusa/rugs/rugs-usa-textured-moroccan-jute/Light-Gray/200SMRM01A-P.html,India,1/2 inch,"70% Jute, 30% Cotton",,Handmade,Beige,Rugs USA,200SMRM01A,s,rugs-usa-textured-moroccan-jute,Freckel,0,0,48 Hours,True,N,"The simplicity of a jute rug can elevate any space from incomplete to effortless sophistication. Handmade in India, this flatweave area rug can virtually integrate with any existing decor. Designed to add a fresh and regal ambiance. An eco-friendly fiber also allows for a sustainable choice. Choose from a wide array of colors and sizes. Make the most of your time at home with our pet-friendly and easy to clean area rugs.","Bedroom, Dining Room, Living Room, Hallway, Kitchen",2022-01-13 19:33:41.513542
